Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Tests),Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Asset type),Custom field (Asset type),Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Department),Custom field (Department),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Priority),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Severity),Custom field (Source),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Verify if the platform supports social login via Facebook.,MAG-21,16529,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,14/Mar/24 11:44 AM,23/Apr/24 12:18 PM,12/Jul/24 8:51 PM,14/Mar/24 4:21 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

The user is not logged in.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-3,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3db1b2c1,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03aw,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_16658663_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,14/Mar/24 4:21 PM
Verify if the platform supports social login via Google.,MAG-20,16468,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,13/Mar/24 3:06 PM,23/Apr/24 12:18 PM,12/Jul/24 9:16 PM,14/Mar/24 4:21 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

The user is not logged in.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-3,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@67704414,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03at,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_90903222_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,14/Mar/24 4:21 PM
Verify if user can use  manual logout.,MAG-19,16465,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,13/Mar/24 2:39 PM,23/Apr/24 12:15 PM,12/Jul/24 8:51 PM,14/Mar/24 4:21 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] ",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-3,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@13534b87,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03am,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_92514359_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,14/Mar/24 4:21 PM
"Verify persistence of login state across sessions when ""Remember Me"" option is selected.",MAG-18,16460,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,13/Mar/24 2:25 PM,23/Apr/24 12:20 PM,12/Jul/24 9:16 PM,14/Mar/24 4:21 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

The user is not logged in.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-3,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5cfbda9d,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03a9,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_93371859_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,14/Mar/24 4:21 PM
Verify if system provides error message after multiple failed attempts.,MAG-17,16457,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,13/Mar/24 2:10 PM,23/Apr/24 12:20 PM,12/Jul/24 8:51 PM,14/Mar/24 4:21 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

The user is not logged in.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-3,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a1f505c,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03a4,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_94258574_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,14/Mar/24 4:21 PM
Verify if user can log in with correct email/username and password.,MAG-16,16456,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,13/Mar/24 1:56 PM,23/Apr/24 12:20 PM,12/Jul/24 8:51 PM,14/Mar/24 4:21 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

The user is not logged in.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-3,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5d1a23f5,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03a,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_95049672_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,14/Mar/24 4:21 PM
Verify if user can deactivate the account.,MAG-13,16428,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,12/Mar/24 7:37 PM,23/Apr/24 12:19 PM,12/Jul/24 9:16 PM,14/Mar/24 4:18 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

The user is not logged in.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,MAG-15,MAG-2,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1f3a0cd5,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:0389,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_160908059_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,14/Mar/24 4:18 PM
Verify is system enforces password strength requirements.,MAG-12,16427,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,12/Mar/24 7:36 PM,23/Apr/24 12:19 PM,12/Jul/24 9:16 PM,14/Mar/24 4:18 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

The user is not logged in.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-2,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5ad8152e,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:038,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_160951231_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,14/Mar/24 4:18 PM
Verify if all required fields are filled during registration.,MAG-11,16426,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,12/Mar/24 7:35 PM,23/Apr/24 12:18 PM,12/Jul/24 9:16 PM,14/Mar/24 4:18 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

The user is not logged in.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-2,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7848217a,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:035,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_160993306_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,14/Mar/24 4:18 PM
Verify if system prevents registration with an email already in use.,MAG-10,16425,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,12/Mar/24 7:34 PM,23/Apr/24 12:18 PM,12/Jul/24 9:16 PM,14/Mar/24 4:22 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

The user is not logged in.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,MAG-14,MAG-2,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b91a64e,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:032,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_242000_*|*_10000_*:*_1_*:*_161013606_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,14/Mar/24 4:22 PM
Verify is system rejects invalid email formats during registration.,MAG-9,16424,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,12/Mar/24 7:33 PM,23/Apr/24 12:18 PM,12/Jul/24 8:50 PM,14/Mar/24 4:18 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

The user is not logged in.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-2,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7dc7b75f,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_161086498_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,14/Mar/24 4:18 PM
Verify if user can successfully register with unique email and password.,MAG-8,16423,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,12/Mar/24 7:32 PM,23/Apr/24 11:05 AM,12/Jul/24 8:50 PM,14/Mar/24 4:18 PM,,0,"Preconditions:

Access the shein website : 

[https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] ",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-2,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@55fa45a,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:02,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_161138003_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,14/Mar/24 4:18 PM
Verify if user can add personal address ,MAG-7,16422,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,12/Mar/24 7:29 PM,23/Apr/24 12:23 PM,12/Jul/24 9:16 PM,15/Mar/24 1:09 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] ",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@cda24a9,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azr,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_236408572_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:09 PM
Verify if user can update profile information(nickname) successfully.,MAG-6,16421,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,12/Mar/24 7:28 PM,23/Apr/24 12:23 PM,12/Jul/24 9:16 PM,15/Mar/24 1:09 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] ",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39ad0040,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azi,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_236452892_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:09 PM
Verify if user can check & use SHEIN VIP section,MAG-5,16420,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,12/Mar/24 7:27 PM,23/Apr/24 12:22 PM,12/Jul/24 9:16 PM,15/Mar/24 1:09 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] ",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@711516c4,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03az,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_236486405_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:09 PM
